date,subs
2013-08-04,33787
2013-08-05,33829
2013-08-06,33872
2013-08-07,33906
2013-08-08,33926
2013-08-09,33947
2013-08-10,33984
2013-08-11,34017
2013-08-12,34046
2013-08-13,34085
2013-08-14,34126
2013-08-15,34152
2013-08-16,34182
2013-08-17,34198
2013-08-18,34221
2013-08-19,34250
2013-08-20,34275
2013-08-21,34313
2013-08-22,34349
2013-08-23,34340
2013-08-24,34326
2013-08-25,34364
2013-08-26,34441
2013-08-27,34496
2013-08-28,34531
2013-08-29,34565
2013-08-30,34613
2013-08-31,34657
2013-09-01,34698
2013-09-02,34732
2013-09-03,34759
2013-09-04,34785
2013-09-05,34805
2013-09-06,34864
2013-09-07,34876
2013-09-08,34945
2013-09-09,35530
2013-09-10,35695
2013-09-11,35812
2013-09-12,35880
2013-09-13,35926
2013-09-14,35969
2013-09-15,36041
2013-09-16,36084
2013-09-17,36109
2013-09-18,36137
2013-09-19,36161
2013-09-20,36180
2013-09-21,36175
2013-09-22,36288
2013-09-23,36348
2013-09-24,36395
2013-09-25,36436
2013-09-26,36484
2013-09-27,36531
2013-09-28,36574
2013-09-29,36619
2013-09-30,36659
2013-10-01,36678
2013-10-02,36716
2013-10-03,36763
2013-10-04,36803
2013-10-05,36831
2013-10-06,36923
2013-10-07,37031
2013-10-08,37131
2013-10-09,37169
2013-10-10,37222
2013-10-11,37287
2013-10-12,37299
2013-10-13,37381
2013-10-14,37470
2013-10-15,37533
2013-10-16,37568
2013-10-17,37630
2013-10-18,37672
2013-10-19,37709
2013-10-20,37751
2013-10-21,37806
2013-10-22,37846
2013-10-23,37886
2013-10-24,37898
2013-10-25,37925
2013-10-26,37936
2013-10-27,38046
2013-10-28,38135
2013-10-29,38206
2013-10-30,38250
2013-10-31,38288
2013-11-01,38304
2013-11-02,38336
2013-11-03,38415
2013-11-04,38498
2013-11-05,38577
2013-11-06,38745
2013-11-07,38791
2013-11-08,38829
2013-11-09,38875
2013-11-10,38923
2013-11-11,38975
2013-11-12,39038
2013-11-13,39161
2013-11-14,39205
2013-11-15,39246
2013-11-16,39292
2013-11-17,39392
2013-11-18,39509
2013-11-19,39584
2013-11-20,39646
2013-11-21,39692
2013-11-22,39731
2013-11-23,39749
2013-11-24,39852
2013-11-25,39956
2013-11-26,40043
2013-11-27,40109
2013-11-28,40157
2013-11-29,40207
2013-11-30,40235
2013-12-01,40278
2013-12-02,40330
2013-12-03,40363
2013-12-04,40408
2013-12-05,40458
2013-12-06,40464
2013-12-07,40497
2013-12-08,40529
2013-12-09,40574
2013-12-10,40617
2013-12-11,40662
2013-12-12,40702
2013-12-13,40749
2013-12-14,40771
2013-12-15,40816
2013-12-16,40851
2013-12-17,40869
2013-12-18,40915
2013-12-19,40956
2013-12-20,40982
2013-12-21,40994
2013-12-22,41025
2013-12-23,41066
2013-12-24,41097
2013-12-25,41114
2013-12-26,41143
2013-12-27,41178
2013-12-28,41209
2013-12-29,41649
2013-12-30,41861
2013-12-31,41913
2014-01-01,42004
2014-01-02,42073
2014-01-03,42143
2014-01-04,42206
2014-01-05,42279
2014-01-06,42315
2014-01-07,42369
2014-01-08,42414
2014-01-09,42461
2014-01-10,42500
2014-01-11,42557
2014-01-12,42592
2014-01-13,42622
2014-01-14,42668
2014-01-15,42719
2014-01-16,42780
2014-01-17,42827
2014-01-18,42864
2014-01-19,42926
2014-01-20,42976
2014-01-21,43040
2014-01-22,43136
2014-01-23,43207
2014-01-24,43311
2014-01-25,43418
2014-01-26,44722
2014-01-27,44885
2014-01-28,45059
2014-01-29,45184
2014-01-30,45298
2014-01-31,45422
2014-02-01,45523
2014-02-02,45605
2014-02-03,45679
2014-02-04,45765
2014-02-05,45841
2014-02-06,45892
2014-02-07,45944
2014-02-08,45996
2014-02-09,46071
2014-02-10,46131
2014-02-11,46191
2014-02-12,46235
2014-02-13,46284
2014-02-14,46312
2014-02-15,46371
2014-02-16,46413
2014-02-17,46462
2014-02-18,46501
2014-02-19,46608
2014-02-20,46694
2014-02-21,46748
2014-02-22,46780
2014-02-23,46857
2014-02-24,46896
2014-02-25,46962
2014-02-26,47035
2014-02-27,47119
2014-02-28,47191
2014-03-01,47245
2014-03-02,47309
2014-03-03,47372
2014-03-04,47417
2014-03-05,47460
2014-03-06,47561
2014-03-07,47638
2014-03-08,48698
2014-03-09,48773
2014-03-10,48849
2014-03-11,48956
2014-03-12,49577
2014-03-13,49779
2014-03-14,49951
2014-03-15,50277
2014-03-16,50919
2014-03-17,51501
2014-03-18,51965
2014-03-19,52085
2014-03-20,52191
2014-03-21,52273
2014-03-22,52373
2014-03-23,52466
2014-03-24,52527
2014-03-25,52599
2014-03-26,52650
2014-03-27,52707
2014-03-28,52742
2014-03-29,52771
2014-03-30,53016
2014-03-31,53234
2014-04-01,53361
2014-04-02,53427
2014-04-03,53535
2014-04-04,53623
2014-04-05,53689
2014-04-06,53978
2014-04-07,54197
2014-04-08,54335
2014-04-09,54442
2014-04-10,54524
2014-04-11,54614
2014-04-12,54663
2014-04-13,54776
2014-04-14,54844
2014-04-15,54931
2014-04-16,54988
2014-04-17,55023
2014-04-18,55080
2014-04-19,55095
2014-04-20,55216
2014-04-21,55376
2014-04-22,55459
2014-04-23,55523
2014-04-24,55590
2014-04-25,55657
2014-04-26,55714
2014-04-27,55810
2014-04-28,56071
2014-04-29,56179
2014-04-30,56244
2014-05-01,56319
2014-05-02,56370
2014-05-03,56414
2014-05-04,56460
2014-05-05,56509
2014-05-06,56565
2014-05-07,56626
2014-05-08,56699
2014-05-09,56747
2014-05-10,56817
2014-05-11,56936
2014-05-12,57080
2014-05-13,57217
2014-05-14,57296
2014-05-15,57357
2014-05-16,57398
2014-05-17,57439
2014-05-18,57499
2014-05-19,57562
2014-05-20,57612
2014-05-21,57675
2014-05-22,57724
2014-05-23,57762
2014-05-24,57840
2014-05-25,58092
2014-05-26,58543
2014-05-27,58671
2014-05-28,58773
2014-05-29,58851
2014-05-30,58904
2014-05-31,58939
2014-06-01,58995
2014-06-02,59038
2014-06-03,59082
2014-06-04,59112
2014-06-05,59146
2014-06-06,59176
2014-06-07,59186
2014-06-08,59386
2014-06-09,59589
2014-06-10,59691
2014-06-11,59771
2014-06-12,59817
2014-06-13,59861
2014-06-14,59906
2014-06-15,59957
2014-06-16,60053
2014-06-17,60108
2014-06-18,60150
2014-06-19,60181
2014-06-20,60208
2014-06-21,60216
2014-06-22,60282
2014-06-23,60373
2014-06-24,60438
2014-06-25,60487
2014-06-26,60572
2014-06-27,60657
2014-06-28,60676
2014-06-29,60710
2014-06-30,60743
2014-07-01,60798
2014-07-02,60826
2014-07-03,60846
2014-07-04,60870
2014-07-05,60893
2014-07-06,60994
2014-07-07,61111
2014-07-08,61180
2014-07-09,61246
2014-07-10,61284
2014-07-11,61333
2014-07-12,61373
2014-07-13,61424
2014-07-14,61466
2014-07-15,61504
2014-07-16,61544
2014-07-17,61576
2014-07-18,61594
2014-07-19,61575
2014-07-20,61697
2014-07-21,61798
2014-07-22,61882
2014-07-23,61933
2014-07-24,61985
2014-07-25,62029
2014-07-26,62025
2014-07-27,62208
2014-07-28,62337
2014-07-29,62405
2014-07-30,62473
2014-07-31,62516
2014-08-01,62553
2014-08-02,62595
2014-08-03,62648
2014-08-04,62683
2014-08-05,62723
2014-08-06,62764
2014-08-07,62793
2014-08-08,62827
2014-08-09,62871
2014-08-10,62927
2014-08-11,62997
2014-08-12,63039
2014-08-13,63092
2014-08-14,63115
2014-08-15,63156
2014-08-16,63189
2014-08-17,63324
2014-08-18,63369
2014-08-19,63403
2014-08-20,63464
2014-08-21,63510
2014-08-22,63572
2014-08-23,63576
2014-08-24,63801
2014-08-25,63986
2014-08-26,64078
2014-08-27,64140
2014-08-28,64207
2014-08-29,64278
2014-08-30,64322
2014-08-31,64385
2014-09-01,64468
2014-09-02,64530
2014-09-03,64581
2014-09-04,64618
2014-09-05,64664
2014-09-06,64692
2014-09-07,64837
2014-09-08,64975
2014-09-09,65050
2014-09-10,65102
2014-09-11,65189
2014-09-12,65236
2014-09-13,65302
2014-09-14,65375
2014-09-15,65409
2014-09-16,65457
2014-09-17,65497
2014-09-18,65541
2014-09-19,65546
2014-09-20,65574
2014-09-21,65696
2014-09-22,65996
2014-09-23,66064
2014-09-24,66135
2014-09-25,66184
2014-09-26,66219
2014-09-27,66268
2014-09-28,66305
2014-09-29,66336
2014-09-30,66365
2014-10-01,66392
2014-10-02,66422
2014-10-03,66468
2014-10-04,66551
2014-10-05,67450
2014-10-06,67884
2014-10-07,68082
2014-10-08,68195
2014-10-09,68267
2014-10-10,68343
2014-10-11,68414
2014-10-12,68576
2014-10-13,68714
2014-10-14,68812
2014-10-15,68914
2014-10-16,69037
2014-10-17,69080
2014-10-18,69153
2014-10-19,69231
2014-10-20,69293
2014-10-21,69375
